num,serial,ID,text,image,cat_abbr,,real_answer,num_blanks,num_answers,li_a_cats,li_a_tenses,li_a_serials,str_a_cats,str_a_tenses,str_a_serials
35,000035,Question_000035,The tortoise beat the hare by ___.,,s,statement,,,,,,,,,
36,000036,Question_000036,"It was all Mrs. Johnson could do not to cry when she got the news that little Timmy had contracted ___. (@ chlamydia, )",,s,statement,,,,,,,,,
37,000037,Question_000037,Justin Beiber humiliated himself again. This time he ___.,,s,statement,,,,,,,,,
38,000038,Question_000038,"If you're not ___, you're not trying hard enough. (cheating)",,s,statement,,,,,,,,,
39,000039,Question_000039,"At the 7th grade talent show, Justin impressed the whole school by ___.",,s,statement,,,,,,,,,
40,000040,Question_000040,CrossFit is so last year; I do ___ now.,,s,statement,,,,,,,,,
41,000041,Question_000041,Got an issue? Here's a ___.,,s,statement,,,,,,,,,
42,000042,Question_000042,"___, not money or women, is the root of all evil.",,s,statement,,,,,,,,,
43,000043,Question_000043,___ was recently voted Sexiest Man Alive.,,s,statement,,,,,,,,,
44,000044,Question_000044,___ was recently voted Sexiest Woman Alive.,,s,statement,,,,,,,,,
45,000045,Question_000045,___ was recently voted ___ Man Alive.,,s,statement,,,,,,,,,
46,000046,Question_000046,___ was recently voted ___ Woman Alive.,,s,statement,,,,,,,,,
47,000047,Question_000047,___ tops Forbes' List of 400 Richest People.,,s,statement,,,,,,,,,
48,000048,Question_000048,___ tops Forbes' List of 400 ___ People.,,s,statement,,,,,,,,,
49,000049,Question_000049,What's the craziest thing you've done lately?,,n,question,,,,,,,,,
50,000050,Question_000050,Keep calm and ___.,,s,statement,,,,,,,,,
51,000051,Question_000051,Seat belts are not as confining as ___. (wheelchairs),,s,statement,,,,,,,,,
52,000052,Question_000052,"In the 22nd century remake of The Wizard of Oz, Dorothy chants, ""There's no place like ___"" three times whilst clicking her ___.",,s,statement,,,,,,,,,
53,000053,Question_000053,"50 years from now, ___ will be the most popular word in the world.",,s,statement,,,,,,,,,
54,000054,Question_000054,"Many are predicting that, in 20 years, scientists will find the cure for ___. (cancer)",,s,statement,,,,,,,,,
55,000055,Question_000055,"If you could only eat one thing in the world, what would it be?",,n,question,,,,,,,,,
56,000056,Question_000056,"Which came first, ___ or ___? (the chicken, the egg)",,n,question,,,,,,,,,
57,000057,Question_000057,We won the lottery! Let's buy ___ first.,,s,statement,,,,,,,,,
58,000058,Question_000058,A previously-unknown theory of Freud states that ___.,,s,statement,,,,,,,,,
59,000059,Question_000059,"Really, it's no big deal. Everyone ___.",,s,statement,,,,,,,,,
60,000060,Question_000060,,,,,,,,,,,,,
61,000061,Question_000061,,,,,,,,,,,,,
62,000062,Question_000062,,,,,,,,,,,,,
63,000063,Question_000063,# Derived from CAH (but different),,,,,,,,,,,,
64,000064,Question_000064,Next time on Dr. Phil: ___.,,s,statement,,,,,,,,,
65,000065,Question_000065,"Biologists the world over are stunned by the discovery of ___, a type of ___.",,s,statement,,,,,,,,,
66,000066,Question_000066,"They say diamonds are a girl's best friend, but we all know that ___ really is/are.",,s,statement,,,,,,,,,
67,000067,Question_000067,"If the world started with a Big Bang, it's gonna end with ___.",,s,statement,,,,,,,,,
68,000068,Question_000068,"In Michael Bay's new movie, ___ explodes.",,s,statement,,,,,,,,,
69,000069,Question_000069,"If you want to have the perfect picnic, pack several blankets, lots of wine and cheese, and some choice ___.",,s,statement,,,,,,,,,
70,000070,Question_000070,___ and ___'s perfect first date ended with a kiss that seemed to go on for hours.,,s,statement,,,,,,,,,
71,000071,Question_000071,"So that future generations may appreciate our sophisticated culture and advanced technology, we created a time capsule and filled it with ___. (@ The DVD Collection of Spongebob Squarepants, @ )",,s,statement,,,,,,,,,
72,000072,Question_000072,"We were so excited to finally take a family vacation to Italy, but when we got there, ___ happened.",,s,statement,,,,,,,,,
73,000073,Question_000073,"Your mission, should you choose to receive it, Mr. Bond, is to ___.",,s,statement,,,,,,,,,
74,000074,Question_000074,Studies show that 42% of all ___ are completely made up. (statistics),,s,statement,,,,,,,,,
75,000075,Question_000075,My first act as President of the United States will be ___.,,s,statement,,,,,,,,,
76,000076,Question_000076,Forget steroids; ___ is a much better performance-enhancer.,,s,statement,,,,,,,,,
77,000077,Question_000077,,,,,,,,,,,,,
78,000078,Question_000078,,,,,,,,,,,,,
79,000079,Question_000079,,,,,,,,,,,,,
80,000080,Question_000080,# Derived from Internet Memes,,,,,,,,,,,,
81,000081,Question_000081,"I'm not always late for work. But when I am, I make up for it by ___. (leaving early)",,s,statement,,,,,,,,,
82,000082,Question_000082,Not sure if ___ or just ___.,,s,statement,,,,,,,,,
83,000083,Question_000083,,,,,,,,,,,,,
84,000084,Question_000084,,,,,,,,,,,,,
85,000085,Question_000085,,,,,,,,,,,,,
86,000086,Question_000086,# Quotes,,,,,,,,,,,,
87,000087,Question_000087,,,,,,,,,,,,,
88,000088,Question_000088,"Abraham Lincoln once said: ""Nearly all men can stand adversity, but if you want to test a man's character, give him ___."" (power)",,o,quote,,,,,,,,,
89,000089,Question_000089,"Abraham Lincoln once said: ""All that I am, or hope to be, I owe to my angel ___."" (mother)",,o,quote,,,,,,,,,
90,000090,Question_000090,"Abraham Lincoln once said: ""Better to remain silent and be thought a fool than to ___ and remove all doubt."" (speak out)",,o,quote,,,,,,,,,
91,000091,Question_000091,"Abraham Lincoln once said: ""Things may come to those who wait, but only the things left by those who ___."" (hustle)",,o,quote,,,,,,,,,
92,000092,Question_000092,"Abraham Lincoln once said: ""Four score and seven years ago our fathers brought forth on this continent, a new nation, conceived in Liberty, and dedicated to the proposition that all ___ are created equal."" (men)",,o,quote,,,,,,,,,
93,000093,Question_000093,"Abraham Lincoln once said: ""Four score and seven years ago our fathers brought forth on this continent, a new nation, conceived in Liberty, and dedicated to the proposition that all men are ___."" (created equal)",,o,quote,,,,,,,,,
94,000094,Question_000094,,,,,,,,,,,,,
95,000095,Question_000095,,,,,,,,,,,,,
96,000096,Question_000096,"Albert Einstein once said: ""The world will not be destroyed by those who do evil, but by those who ___."" ()",,o,quote,,,,,,,,,
97,000097,Question_000097,"Albert Einstein once said: ""Look deep into ___, and then you will understand everything better."" (nature)",,o,quote,,,,,,,,,
98,000098,Question_000098,"Albert Einstein once said: ""You have to learn the rules of the game. And then you have to play better than ___."" (anyone else)",,o,quote,,,,,,,,,
99,000099,Question_000099,"Albert Einstein once said: ""You have to learn the rules of the game. And then you have to ___ better than anyone else."" (play)",,o,quote,,,,,,,,,
100,000100,Question_000100,"Albert Einstein once said: ""We cannot solve our problems without the same thinking we used when we ___."" (created them)",,o,quote,,,,,,,,,
101,000101,Question_000101,"Albert Einstein once said: ""A person who never made a mistake never tried ___."" (anything new)",,o,quote,,,,,,,,,
102,000102,Question_000102,"Albert Einstein once said: ""The true sign of intelligence is not knowledge but ___."" (imagination)",,o,quote,,,,,,,,,
103,000103,Question_000103,"Albert Einstein once said: ""Logic will get you from A to B. ___ will take you everywhere."" (Imagination)",,o,quote,,,,,,,,,
104,000104,Question_000104,"Albert Einstein once said: ""It's not that I'm so smart, it's just that I ___."" (stay with problems longer)",,o,quote,,,,,,,,,
105,000105,Question_000105,"Albert Einstein once said: ""The most beautiful thing we can experience is ___. It is the source of all true art and science."" (the mysterious)",,o,quote,,,,,,,,,
106,000106,Question_000106,,,,,,,,,,,,,
107,000107,Question_000107,"Andrew Carnegie once said: ""People who are unable to ___ must be content with mediocrity, no matter how impressive their other talents."" (motivate themselves)",,o,quote,,,,,,,,,
108,000108,Question_000108,,,,,,,,,,,,,
109,000109,Question_000109,"Anne Frank once said: ""How wonderful it is that nobody need wait a single moment before ___."" (starting to improve the world)",,o,quote,,,,,,,,,
110,000110,Question_000110,,,,,,,,,,,,,
111,000111,Question_000111,"Aristotle once said: ""Love is composed of a single soul inhabiting two ___."" (bodies)",,o,quote,,,,,,,,,
112,000112,Question_000112,"Aristotle once said: ""We are what we repeatedly do. Excellence, then, is not an act, but ___."" (a habit)",,o,quote,,,,,,,,,
113,000113,Question_000113,"Aristotle once said: ""___ is the essence of life."" (The energy of the mind)",,o,quote,,,,,,,,,
114,000114,Question_000114,,,,,,,,,,,,,
115,000115,Question_000115,"Benjamin Franklin once said: ""The definition of insanity is doing the same thing over and over and expecting ___."" (different results)",,o,quote,,,,,,,,,
116,000116,Question_000116,,,,,,,,,,,,,
117,000117,Question_000117,"Bill Gates once said: ""Technology is just a tool. In terms of getting the kids working together and motivating them, ___ is the most important."" (the teacher)",,o,quote,,,,,,,,,
118,000118,Question_000118,,,,,,,,,,,,,
119,000119,Question_000119,"Confucius once said: ""It does not matter how slowly you go as long as you do not ___."" (stop)",,o,quote,,,,,,,,,
120,000120,Question_000120,"Confucius once said: ""It does not matter how slowly you ___ as long as you do not stop."" (go)",,o,quote,,,,,,,,,
121,000121,Question_000121,"Confucius once said: ""The will to win, the desire to succeed, the urge to reach your full potential; these are the keys that will unlock the door to ___."" (personal excellence).",,o,quote,,,,,,,,,
122,000122,Question_000122,"Confucius once said: ""Life is really simple, but we insist on making ___."" (it simple)",,o,quote,,,,,,,,,
123,000123,Question_000123,"Confucius once said: ""Our greatest glory is not in ___, but in rising every time we fall."" (never falling)",,o,quote,,,,,,,,,
124,000124,Question_000124,"Confucius once said: ""Our greatest glory is not in never falling, but in rising every time we ___."" (fall)",,o,quote,,,,,,,,,
125,000125,Question_000125,,,,,,,,,,,,,
126,000126,Question_000126,"Dale Carnegie once said: ""If you want to conquer fear, don't sit home and think about it. Go out and ___."" (get busy)",,o,quote,,,,,,,,,
127,000127,Question_000127,"Dale Carnegie once said: ""Most of the important things in the world have been accomplished by people who have kept on trying when there seemed to be no ___ at all."" (hope)",,o,quote,,,,,,,,,
128,000128,Question_000128,"Dale Carnegie once said: ""Most of the important things in the world have been accomplished by people who have kept on ___ when there seemed to be no ___ at all."" (trying, hope)",,o,quote,,,,,,,,,
129,000129,Question_000129,"Dale Carnegie once said: ""Our fatigue is often caused not by work, but by worry, frustration, and ___."" (resentment)",,o,quote,,,,,,,,,
130,000130,Question_000130,,,,,,,,,,,,,
131,000131,Question_000131,"Darth Vader once said: ""Luke, I am ___."" (your father) (@ your second uncle twice removed / @ Beezow Doo-Doo Zopittybop-Bop-Bop / @ your father, Anass Rhammar / @ addicted to One Direction / @ the game, pal)",,o,quote,,,,,,,,,
132,000132,Question_000132,,,,,,,,,,,,,
133,000133,Question_000133,"Donald Trump once said: ""It's tangible, it's solid, it's beautiful. It's artistic, from my standpoint, and I just love ___."" (real estate) (@ Neville's long bottom, @ Tosh.0, @ Jersey Shore, @ terrorism, )",,o,quote,,,,,,,,,
134,000134,Question_000134,,,,,,,,,,,,,
135,000135,Question_000135,"Dr. Martin Luther King, Jr. once said: ""Life's most persistent and urgent question is, 'What are you doing for ___?'"" (others)",,o,quote,,,,,,,,,
136,000136,Question_000136,"Dr. Martin Luther King, Jr. once said: ""Nothing in all the world is more dangeous than sincere ignorance and ___."" (conscientious stupidity)",,o,quote,,,,,,,,,
137,000137,Question_000137,"Dr. Martin Luther King, Jr. once said: ""Our lives begin to end the day we come silent about ___."" (things that matter).",,o,quote,,,,,,,,,
138,000138,Question_000138,,,,,,,,,,,,,
139,000139,Question_000139,"Dr. Seuss once said: ""Today you are you are you! That is truer than true! There is no one alive who is ___ than you!"" (you-er)",,o,quote,,,,,,,,,
140,000140,Question_000140,"Dr. Seuss once said: ""Don't cry because it's over. Smile because ___."" (it happened)",,o,quote,,,,,,,,,
141,000141,Question_000141,"Dr. Seuss once said: ""You have brains in your head. You have feet in your shoes. You can ___ in any direction you choose."" (steer yourself)",,o,quote,,,,,,,,,
142,000142,Question_000142,"Dr. Seuss once said: ""The more that you read, the more things you will know. The more that you learn, the more places you'll ___."" (go)",,o,quote,,,,,,,,,
143,000143,Question_000143,"Dr. Seuss once said: ""Think left and think right and think low and think high. Oh, the thinks you can think up if only you ___!"" (try)",,o,quote,,,,,,,,,
144,000144,Question_000144,"Dr. Seuss once said: ""Only you can control ___."" (your future)",,o,quote,,,,,,,,,
145,000145,Question_000145,"Dr. Seuss once said: ""I've heard there are troubles or more than one kind; some come from ahead, and some come from behind. But I've brought a big ___. I'm all ready, you see; now my troubles are going to have troubles with me!"" (bat)",,o,quote,,,,,,,,,
146,000146,Question_000146,"Dr. Seuss once said: ""You're never too old, too wacky, too wild, to pick up a book and read to ___."" (a child)",,o,quote,,,,,,,,,
147,000147,Question_000147,"Dr. Seuss once said: ""Adults are just ___ children."" (outdated)",,o,quote,,,,,,,,,
148,000148,Question_000148,,,,,,,,,,,,,
149,000149,Question_000149,"Eleanor Roosevelt once said: ""Do one thing every day that ___ you."" (scares)",,o,quote,,,,,,,,,
150,000150,Question_000150,,,,,,,,,,,,,
151,000151,Question_000151,"Hellen Keller once said: ""The best and most beautiful things in the world cannot be seen or even touched - they must be ___."" (felt with the heart)",,o,quote,,,,,,,,,
152,000152,Question_000152,"Hellen Keller once said: ""Alone we can do so little; together we can ___."" (do so much)",,o,quote,,,,,,,,,
153,000153,Question_000153,"Hellen Keller once said: ""Life is either ___ or nothing."" (a great adventure)",,o,quote,,,,,,,,,
154,000154,Question_000154,"Hellen Keller once said: ""The only thing worse than being blind is having sight but no ___."" (vision)",,o,quote,,,,,,,,,
155,000155,Question_000155,"Hellen Keller once said: ""Never bend your head. Always hold it high. Look ___ straight in the eye."" (the world)",,o,quote,,,,,,,,,
156,000156,Question_000156,"Hellen Keller once said: ""True happiness...is not attacined through self-gratification, but through ___."" (fidelity to a worthy purpose.)",,o,quote,,,,,,,,,
157,000157,Question_000157,"Hellen Keller once said: ""All the world is full of suffering. It is also full of ___."" (overcoming)",,o,quote,,,,,,,,,
158,000158,Question_000158,,,,,,,,,,,,,
159,000159,Question_000159,"Henry Ford once said: ""___ are those frightful things you see when you take your eyes off your goal."" (Obstacles)",,o,quote,,,,,,,,,
160,000160,Question_000160,"Henry Ford once said: ""If you think you can do a thing or think you can't do a thing, you're ___."" (right)",,o,quote,,,,,,,,,
161,000161,Question_000161,"Henry Ford once said: ""___ is the hardest work there is, which is probably the reason why so few engage in it."" (Thinking)",,o,quote,,,,,,,,,
162,000162,Question_000162,"Henry Ford once said: ""Failure is simply the opportunity to begin again, this time ___."" (more intelligently) (@ on crystal meth, @ with Hobbits, @ with more rhythmic gymnastics, @ more woozily, @ more drunkenly, @ with more Sriracha)",,o,quote,,,,,,,,,
163,000163,Question_000163,"Henry Ford once said: ""Even ___ may turn out to be the one thing necessary to a worthwhile achievement."" (a mistake) (@ a Magikarp) ",,o,quote,,,,,,,,,
164,000164,Question_000164,,,,,,,,,,,,,
165,000165,Question_000165,"Mark Twain once said: ""___ is an issue of mind over matter. If you don't mind, it doesn't matter."" (Age)",,o,quote,,,,,,,,,
166,000166,Question_000166,"Mark Twain once said: ""There are basically two types of people. People who accomplish things, and people who ___. The first group is less crowded."" (claim to have accomplished things)",,o,quote,,,,,,,,,
167,000167,Question_000167,"Mark Twain once said: ""___ is the easiest thing in the world. I know because I've done it thousands of times."" (Giving up smoking)",,o,quote,,,,,,,,,
168,000168,Question_000168,"Mark Twain once said: ""It is by the goodness of God that in our country we have those three unspeakably precious things: freedom of speech, freedom of conscience, and ___."" (the prudence never to practice either of them)",,o,quote,,,,,,,,,
169,000169,Question_000169,"Mark Twain once said: ""Don't let schooling interfere with your ___."" (education)",,o,quote,,,,,,,,,
170,000170,Question_000170,"Mark Twain once said: ""There is a charm about ___ that makes it unspeakably desirable."" (the forbidden)",,o,quote,,,,,,,,,
171,000171,Question_000171,"Mark Twain once said: ""When angry, count to four. When very angry, ___."" (swear)",,o,quote,,,,,,,,,
172,000172,Question_000172,"Mark Twain once said: ""___ is mankind's greatest blessing."" (Humor)",,o,quote,,,,,,,,,
173,000173,Question_000173,"Mark Twain once said: ""Many a small thing has been made large by the right kind of ___."" (advertising)",,o,quote,,,,,,,,,
174,000174,Question_000174,"Mark Twain once said: ""It usually takes me more than three weeks to prepare a good ___."" (impromptu speech)",,o,quote,,,,,,,,,
175,000175,Question_000175,"Mark Twain once said: ""___ is nothing but cabbage with a college education."" (Cauliflower)",,o,quote,,,,,,,,,
176,000176,Question_000176,"Mark Twain once said: ""When you fish for love, bait with your heart, not your ___."" (brain)",,o,quote,,,,,,,,,
177,000177,Question_000177,"Mark Twain once said: ""The reports of ___ have been greatly exaggerated."" (my death)",,o,quote,,,,,,,,,
178,000178,Question_000178,"Mark Twain once said: ""The two most important days in your life are the day you are born and the day ___."" (you find out why)",,o,quote,,,,,,,,,
179,000179,Question_000179,,,,,,,,,,,,,
180,000180,Question_000180,"Michael Jordan once said: ""I've failed over and over and over again in my life and that is why I ___."" (succeed)",,o,quote,,,,,,,,,
181,000181,Question_000181,,,,,,,,,,,,,
182,000182,Question_000182,"Patrick Henry once said: ""Give me liberty, or give me ___."" (death) (@ a bran muffin)",,o,quote,,,,,,,,,
183,000183,Question_000183,,,,,,,,,,,,,
184,000184,Question_000184,"Plato once said: ""We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of ___."" (the light) (@ Teletubbies, @ chick flicks, @ Oprah, @ spiders)",,o,quote,,,,,,,,,
185,000185,Question_000185,,,,,,,,,,,,,
186,000186,Question_000186,"Ralph Waldo Emerson once said: ""Do not go where the path may lead, go instead where there is no path and leave ___."" (a trail)",,o,quote,,,,,,,,,
187,000187,Question_000187,,,,,,,,,,,,,
188,000188,Question_000188,"Soren Kierkegaard once said: ""Life is not a problem to be solved, but a ___ to be experienced."" (reality)",,o,quote,,,,,,,,,
189,000189,Question_000189,,,,,,,,,,,,,
190,000190,Question_000190,"Steve Jobs once said: ""My favorite things in life don't cost any money. It's really clear that the most precious resource we all have is ___."" (time)",,o,quote,,,,,,,,,
191,000191,Question_000191,"Steve Jobs once said: ""Sometimes life hits you in the head with ___. Don't lose faith."" (a brick)",,o,quote,,,,,,,,,
192,000192,Question_000192,"Steve Jobs once said: ""Being the richest man in the cemetery doesn't matter to me. Going to bed at night saying we've ___, that's what matters to me."" (done something wonderful)",,o,quote,,,,,,,,,
193,000193,Question_000193,,,,,,,,,,,,,
194,000194,Question_000194,"The Dalai Lama once said: ""Happiness is not something ready-made. It comes from ___."" (your own actions)",,o,quote,,,,,,,,,
195,000195,Question_000195,"The Dalai Lama once said: ""Be ___ whenever possible. It is always possible."" (kind)",,o,quote,,,,,,,,,
196,000196,Question_000196,"The Dalai Lama once said: ""___ whenever possible. It is always possible."" (Be kind)",,o,quote,,,,,,,,,
197,000197,Question_000197,"The Dalai Lama once said: ""The purpose of our lives is to ___."" (be happy)",,o,quote,,,,,,,,,
198,000198,Question_000198,"The Dalai Lama once said: ""I find hope in the darkest of days, and focus in the brightest. I do not judge ___."" (the universe)",,o,quote,,,,,,,,,
199,000199,Question_000199,"The Dalai Lama once said: ""Love and compassion are necessities, not luxuries. Without them humanity cannot ___."" (survive)",,o,quote,,,,,,,,,
200,000200,Question_000200,"The Dalai Lama once said: ""Love and compassion are necessities, not luxuries. Without them ___ cannot survive."" (humanity)",,o,quote,,,,,,,,,
201,000201,Question_000201,"The Dalai Lama once said: ""If you want others to be happy, practice compassion. If you want to be happy, practice ___."" (compassion)",,o,quote,,,,,,,,,
202,000202,Question_000202,"The Dalai Lama once said: ""The roots of all goodness lie in the soil of appreciation for ___."" (goodness)",,o,quote,,,,,,,,,
203,000203,Question_000203,"The Dalai Lama once said: ""My religion is very simple. My religion is ___."" (kindness)",,o,quote,,,,,,,,,
204,000204,Question_000204,"The Dalai Lama once said: ""The best way to resolve any problem in the human world is for all sides to sit down and ___."" (talk)",,o,quote,,,,,,,,,
205,000205,Question_000205,,,,,,,,,,,,,
206,000206,Question_000206,"Tony Robbins once said: ""The secret of success is learning how to use pain and pleasure instead of having pain and pleasure use you. If you do that, you're in control of your life. If you don't, ___ controls you."" (life)",,o,quote,,,,,,,,,
207,000207,Question_000207,,,,,,,,,,,,,
208,000208,Question_000208,"Walt Disney once said: ""All our dreams can come true, if we have the courage to ___."" (pursue them)",,o,quote,,,,,,,,,
209,000209,Question_000209,"Walt Disney once said: ""It's kind of fun to ___."" (do the impossible)",,o,quote,,,,,,,,,
210,000210,Question_000210,"Walt Disney once said: ""You can design and create, and build the most wonderful place in the world. But it takes ___ to make the dream a reality."" (people)",,o,quote,,,,,,,,,
211,000211,Question_000211,,,,,,,,,,,,,
212,000212,Question_000212,"William Shakespeare once said: ""Love all, trust a few, do wrong to ___."" (none)",,o,quote,,,,,,,,,
213,000213,Question_000213,"William Shakespeare once said: ""Some are born great, some achieve greatness, and some ___."" (have greatness thrust upon them)",,o,quote,,,,,,,,,
214,000214,Question_000214,"William Shakespeare once said: ""Ignorance is the curse of God; knowledge is the wing wherewith we fly to ___."" (heaven)",,o,quote,,,,,,,,,
215,000215,Question_000215,"William Shakespeare once said: ""We know what we are, but know not what ___."" (we may be)",,o,quote,,,,,,,,,
216,000216,Question_000216,"William Shakespeare once said: ""Hell is empty and all the devils are ___."" (here)",,o,quote,,,,,,,,,
217,000217,Question_000217,"William Shakespeare once said: ""Brevity is the soul of ___."" (wit)",,o,quote,,,,,,,,,
218,000218,Question_000218,"William Shakespeare once said: ""___ is the soul of wit."" (Brevity)",,o,quote,,,,,,,,,
219,000219,Question_000219,"William Shakespeare once said: ""Sweet ___ is nobility's true badge."" (mercy)",,o,quote,,,,,,,,,
220,000220,Question_000220,"William Shakespeare once said: ""The lady doth ___ too much, methinks."" (protest)",,o,quote,,,,,,,,,
221,000221,Question_000221,,,,,,,,,,,,,
222,000222,Question_000222,,,,,,,,,,,,,
223,000223,Question_000223,,,,,,,,,,,,,
224,000224,Question_000224,# Proverbs,,,,,,,,,,,,
225,000225,Question_000225,___ is the sincerest form of flattery. (Mimicry),,p,proverb,,,,,,,,,
226,000226,Question_000226,___ speak louder than words. (Actions),,p,proverb,,,,,,,,,
227,000227,Question_000227,You can't judge a book by it's cover. You judge it by its ___.,,p,proverb,,,,,,,,,
228,000228,Question_000228,Drastic times call for drastic measures. And those drastic measures include ___.,,p,proverb,,,,,,,,,
229,000229,Question_000229,"You know what they say: ""When the going gets tough, ___."" (the tough get going)",,p,proverb,,,,,,,,,
230,000230,Question_000230,"Two wrongs don't make a right, but two rights make a ___. (wrong)",,p,proverb,,,,,,,,,
231,000231,Question_000231,___ is mightier than the sword. (The pen),,p,proverb,,,,,,,,,
232,000232,Question_000232,"When life gives you lemons, ___. (make lemonade)",,p,proverb,,,,,,,,,
233,000233,Question_000233,"Hope for the best, but prepare for ___. (the worst)",,p,proverb,,,,,,,,,
234,000234,Question_000234,Better late than never. Except when ___.,,p,proverb,,,,,,,,,
235,000235,Question_000235,"They say a picture is worth a thousand words, but ___ is worth more.",,p,proverb,,,,,,,,,
236,000236,Question_000236,"The early bird may indeed catch the worm, but ___. (@ the second mouse gets the cheese)",,p,proverb,,,,,,,,,
237,000237,Question_000237,All good things must come to an end. Except ___.,,p,proverb,,,,,,,,,
238,000238,Question_000238,One man's trash is ___'s treasure. (another man),,p,proverb,,,,,,,,,
239,000239,Question_000239,"Necessity is the mother of invention, and ___ is its father.",,p,proverb,,,,,,,,,
240,000240,Question_000240,Good things come to those who ___. (wait),,p,proverb,,,,,,,,,
241,000241,Question_000241,"Two heads are better than one, but not if ___'s is one of them.",,p,proverb,,,,,,,,,
242,000242,Question_000242,Do unto others as you would have them do unto ___. (you),,p,proverb,,,,,,,,,
243,000243,Question_000243,"If you want ___, you have to do it yourself. (something done)",,p,proverb,,,,,,,,,
244,000244,Question_000244,There's no time like the present to ___.,,p,proverb,,,,,,,,,
245,000245,Question_000245,God helps those who ___. (help themselves),,p,proverb,,,,,,,,,
246,000246,Question_000246,Fortune favors the bold. And the ___.,,p,proverb,,,,,,,,,
247,000247,Question_000247,A good man is hard to find. A good ___ is harder to find.,,p,proverb,,,,,,,,,
248,000248,Question_000248,"No ___, no gain. (pain)",,p,proverb,,,,,,,,,
249,000249,Question_000249,"Whether you think that you can or think that you can't, you're ___. (right)",,p,proverb,,,,,,,,,
